vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial A;mean interratial pears inicial B;mean interratial pears inicial        ;similarity ratio final;mean dissatisfaction final;mean interratial pears final A;mean interratial pears final B;mean interratial pears final;number of iterations
0.01;0.4994388327721661;0.3771043771043771;0.5014212620807277;0.49858677218767666;1.0000080342684043;0.5274971941638609;0.31425364758698093;0.49892407008914846;0.44043419267299866;0.9393582627621471;50
0.01;0.5185185185185185;0.3479236812570146;0.4815655133295519;0.4810198300283286;0.9625853433578805;0.6621773288439955;0.1526374859708193;0.3329469718922052;0.33141044130372077;0.664357413195926;151
0.01;0.4983164983164983;0.38608305274971944;0.5029821073558648;0.500990099009901;1.003972206365766;0.5230078563411896;0.34118967452300786;0.49788007268322226;0.4526431718061674;0.9505232444893896;37
0.01;0.5039281705948373;0.3613916947250281;0.49489795918367346;0.49489795918367346;0.9897959183673469;0.5185185185185185;0.32435465768799104;0.47702976018491766;0.47456165564817476;0.9515914158330925;19
0.01;0.494949494949495;0.35802469135802467;0.5058222095995456;0.5038189533239038;1.0096411629234494;0.5667789001122334;0.26038159371492703;0.4428952832987244;0.416922647305222;0.8598179306039464;77
0.01;0.5084175084175084;0.3557800224466891;0.49148694665153236;0.49037372593431483;0.9818606725858472;0.531986531986532;0.31874298540965207;0.49295774647887325;0.43869209809264303;0.9316498445715162;35
0.01;0.49382716049382713;0.38047138047138046;0.5055287779982989;0.5052422782657977;1.0107710562640966;0.5937149270482603;0.19528619528619529;0.3682476943346509;0.359254498714653;0.7275021930493039;110
0.01;0.5050505050505051;0.372615039281706;0.4951731970471323;0.49321266968325794;0.9883858667303902;0.5342312008978676;0.30303030303030304;0.4616272360069244;0.46029919447640966;0.9219264304833341;29
0.01;0.4983164983164983;0.37149270482603813;0.5015611694578485;0.5001415227851684;1.001702692243017;0.5331088664421998;0.29854096520763185;0.485921889191644;0.44105523495465787;0.9269771241463018;45
0.01;0.49382716049382713;0.3782267115600449;0.5061027533352257;0.5043847241867044;1.0104874775219301;0.5443322109988776;0.28170594837261503;0.4500587544065805;0.445607911576498;0.8956666659830785;55
0.01;0.500561167227834;0.38496071829405165;0.4988649262202043;0.49773499433748586;0.9965999205576901;0.547699214365881;0.30303030303030304;0.46706766917293235;0.4303131061235799;0.8973807752965123;65
0.01;0.5117845117845118;0.3479236812570146;0.4885041158103889;0.4871214265496745;0.9756255423600634;0.5409652076318743;0.2850729517396184;0.4720143669560012;0.43866481223922116;0.9106791791952223;47
0.01;0.49719416386083054;0.37037037037037035;0.502690455961484;0.5035460992907801;1.006236555252264;0.5263748597081931;0.30864197530864196;0.4712710388856645;0.4680115273775216;0.9392825662631861;24
0.01;0.49719416386083054;0.37373737373737376;0.5017006802721088;0.5017006802721088;1.0034013605442176;0.5274971941638609;0.30864197530864196;0.4671702498547356;0.4666279744631457;0.9337982243178813;35
0.01;0.49607182940516276;0.38608305274971944;0.5038319613965371;0.5021216407355021;1.0059536021320392;0.5286195286195287;0.3333333333333333;0.49634591961023145;0.44462629569012546;0.9409722153003569;41
0.01;0.49158249158249157;0.40404040404040403;0.5088118249005117;0.5059355568117581;1.0147473817122696;0.5050505050505051;0.3658810325476992;0.5125037661946369;0.4705394190871369;0.9830431852817738;28
0.01;0.489337822671156;0.3894500561167228;0.510354609929078;0.5094873973378646;1.0198420072669427;0.5072951739618407;0.3445566778900112;0.5044563279857398;0.4748322147651007;0.9792885427508404;37
0.01;0.5039281705948373;0.3771043771043771;0.49772468714448237;0.49407114624505927;0.9917958333895416;0.5129068462401796;0.3613916947250281;0.5004470938897169;0.468601730393525;0.9690488242832418;19
0.01;0.49158249158249157;0.39281705948372614;0.5089412432585865;0.5075007076139258;1.0164419508725122;0.5398428731762065;0.30078563411896747;0.45386172982354644;0.45465082584758043;0.9085125556711269;51
