vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial;similarity ratio final;mean dissatisfaction final;mean interratial pears final;number of iterations
0.011044692737430167;0.4947311019379708;0.3692;0.7389;0.5951652501813036;0.212;0.7854;282
0.011044692737430167;0.489369680478931;0.3772;0.7356;0.5949385839040805;0.204;0.7853;303
0.011044692737430167;0.49515062537123067;0.3696;0.7396;0.5197891560717697;0.3188;0.7383;97
0.011044692737430167;0.493617293926784;0.3784;0.7387;0.6186552206769351;0.1884;0.7964;327
0.011044692737430167;0.4865125405724655;0.3784;0.7353;0.6463123263513023;0.15;0.8091;464
0.011044692737430167;0.49076015457984085;0.3696;0.7375;0.7286255575561154;0.0828;0.8514;651
0.011044692737430167;0.49534586308239925;0.3648;0.7394;0.6563232679413462;0.1472;0.8064;513
0.011044692737430167;0.48854110980546084;0.3792;0.7363;0.5795057464601588;0.2312;0.7771;276
0.011044692737430167;0.4972796701047777;0.3736;0.7405;0.5274148614871894;0.3124;0.7436;132
0.011044692737430167;0.48900063345157735;0.376;0.7368;0.5631238625810296;0.2472;0.7595;265
0.011044692737430167;0.500164904404403;0.3608;0.7423;0.6974027391106236;0.0964;0.8351;572
0.011044692737430167;0.4909077733907823;0.372;0.7369;0.6734941964566409;0.1204;0.8226;538
0.011044692737430167;0.49130539190112893;0.3804;0.737;0.5760219419490881;0.246;0.7757;244
0.011044692737430167;0.4944315785789964;0.3748;0.7389;0.5834290751418737;0.2264;0.7793;274
0.011044692737430167;0.49459586411513584;0.3652;0.7391;0.688494658281018;0.1136;0.8315;550
0.011044692737430167;0.48948634663865415;0.3868;0.7367;0.5130067842706741;0.34;0.7353;109
