vacant;similarity ratio inicial;mean dissatisfaction inicial;mean interratial pears inicial;similarity ratio final;mean dissatisfaction final;mean interratial pears final;number of iterations
0.001;0.44506731046335507;0.3828;0.6503;0.7917930081260455;0.0;0.8154;1026
0.001;0.4504044438546778;0.3772;0.6509;0.7769039765148693;0.0;0.8162;962
0.001;0.4521839652064309;0.3676;0.6547;0.7731668414120373;0.0;0.81;947
0.001;0.4419796948673336;0.392;0.6475;0.7892139657061762;0.0;0.8245;1024
0.001;0.45184396543960637;0.3708;0.653;0.7849330211380812;0.0;0.8194;946
0.001;0.4510001575652045;0.354;0.6524;0.7929872949432424;0.0;0.8276;1029
0.001;0.45825967263751843;0.3632;0.6568;0.7813239743784347;0.0;0.8165;947
0.001;0.4474511145069742;0.3844;0.6503;0.7739806541593175;0.0;0.8026;987
0.001;0.4586015763823441;0.3708;0.6568;0.7967772891602811;0.0;0.8199;978
0.001;0.4533906303673075;0.3728;0.6548;0.7866196821361914;0.0;0.8176;973
0.001;0.4563849115904756;0.3692;0.6549;0.7881206342337137;0.0;0.8273;1001
0.001;0.44824587717195136;0.3852;0.6505;0.7827215937240874;0.0;0.8162;1062
0.001;0.44482921534277503;0.3924;0.6509;0.7914534899827596;0.0;0.8208;1014
0.001;0.451869204956047;0.3712;0.6511;0.7742992245863307;0.0;0.8179;958
0.001;0.4489906380375316;0.3828;0.6524;0.7715796995062499;0.0;0.8197;992
0.001;0.45169825171340444;0.38;0.6534;0.7757082679138443;0.0;0.8183;955
0.001;0.4525501562717538;0.3728;0.6521;0.7831201609645206;0.0;0.8193;1009
0.001;0.4435158811369123;0.3952;0.6494;0.7979025252600598;0.0;0.8261;1037
0.001;0.4474506408004637;0.3776;0.6506;0.7799139762716466;0.0;0.8116;1013
0.001;0.44522112010485754;0.386;0.6507;0.784354447321169;0.0;0.8168;1023
0.001;0.45011301439314877;0.3748;0.6535;0.7889568212159973;0.0;0.817;972
0.001;0.44927111079872445;0.364;0.6509;0.7789611206300519;0.0;0.8129;1058
0.001;0.4470725447452065;0.3736;0.6517;0.7948687173376945;0.0;0.8188;1005
0.001;0.4451011195769992;0.39;0.6504;0.772789700474542;0.0;0.8103;938
0.001;0.4518763455635093;0.3756;0.6541;0.7835087389473252;0.0;0.815;996
0.001;0.4530730128707656;0.36;0.6541;0.7700658941986276;0.0;0.8096;932
0.001;0.4586863370718944;0.3528;0.6569;0.7989339534745257;0.0;0.8189;967
0.001;0.45164920339803655;0.3688;0.6533;0.7811425451963071;0.0;0.8141;1024
0.001;0.4502882553514515;0.3852;0.6529;0.7755639840579394;0.0;0.8131;990
0.001;0.448824922593792;0.382;0.6522;0.7861392090404684;0.0;0.8247;1032
0.001;0.4549249139315003;0.364;0.6563;0.7785596934565777;0.0;0.8093;947
0.001;0.4569111015524692;0.3616;0.6569;0.7732530312599832;0.0;0.8027;961
0.001;0.4534558671577259;0.3784;0.6565;0.7881392050960369;0.0;0.8167;1010
0.001;0.443980646013273;0.3968;0.6485;0.7876487280459212;0.0;0.8202;1031
0.001;0.45269301075220264;0.3724;0.6532;0.7817458787065087;0.0;0.8149;948
0.001;0.4471501629145985;0.3736;0.6512;0.7880387285768363;0.0;0.8226;1012
